ProDataCSV

Title: Fri Oct 11 14:49:33 2024

Remarks:
#User: Chirascan User
#Date: 2024/10/11
#Instrument: 0641
#DetectorType: PMT
#DichOS Calibration Correction Curve: 0641/1
#HV (CDDC channel): 0 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm
#Temperature: ---- C

Last Modified: Fri Oct 11 16:30:32 2024 by unknown.

Options:

Available Dimensions:,2
Wavelength,Wavelength: 180nm - 280nm,Step Size: 1nm,Bandwidth: 1nm
Temperature,16 temperatures, from 5 to 80degrees Celsius  in smooth ramp mode at ramp-rate of 1degrees C per min.

Available Properties: ,7
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
SE,SE
Temperature,

Data:


CircularDichroism
Wavelength,Temperature
,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,
280,0.513833,0.507303,0.705757,0.449424,0.675617,0.446446,0.444264,0.595978,0.378449,0.695962,0.690126,0.478881,0.60032,0.35883,0.477114,0.597425
279,0.555257,0.514395,0.460673,0.556883,0.670489,0.272601,0.560514,0.557843,0.613159,0.730386,0.573963,0.439408,0.781054,0.550995,0.452081,0.484008
278,0.536025,0.477513,0.143259,0.541459,0.532529,0.262996,0.577134,0.572225,0.621456,0.386322,0.472001,0.534128,0.461608,0.710313,0.466971,0.405725
277,0.516483,0.374887,0.442601,0.360387,0.305217,0.154725,0.659722,0.600566,0.675342,0.406329,0.507154,0.446271,0.549202,0.439547,0.679835,0.447508
276,0.340688,0.607841,0.376649,0.372814,0.66201,0.502493,0.461473,0.483371,0.458568,0.390153,0.509336,0.308655,0.442815,0.5622,0.354549,0.451823
275,0.634409,0.378404,0.548524,0.344509,0.396182,0.446075,0.441463,0.52656,0.463166,0.439453,0.303083,0.30366,0.167959,0.517514,0.482507,0.607401
274,0.547938,0.272939,0.375133,0.433338,0.508813,0.393997,0.374397,0.506215,0.362895,0.246888,0.531362,0.311932,0.471053,0.472251,0.544889,0.32867
273,0.344855,0.198926,0.337266,0.313404,0.49576,0.398569,0.537205,0.399726,0.415492,0.247287,0.27034,0.215644,0.246803,0.366895,0.330792,0.381697
272,0.162635,0.33479,0.366513,0.227538,0.44419,0.331161,0.510385,0.523065,0.33604,0.433983,0.440366,0.275936,0.636803,0.331378,0.380976,0.285518
271,0.390997,0.306522,0.112679,0.349175,0.277332,0.102803,0.298737,0.337737,0.255419,0.38203,0.330741,0.478622,0.345359,0.35314,0.40324,0.412942
270,0.36111,0.271655,0.403387,0.125952,0.333097,0.32431,0.233922,0.383511,0.408109,0.478296,0.165387,0.315444,0.179573,0.287365,0.467146,0.34374
269,0.167828,0.339935,0.383179,0.198272,0.298119,0.286911,0.0502925,0.431752,0.278502,0.354908,0.310204,0.164121,0.392142,0.235835,0.286977,0.129142
268,0.251734,0.381842,0.413041,0.319318,0.0619155,0.359383,0.0951656,0.289923,0.0749783,0.137598,0.294263,0.216745,0.244414,0.181524,0.344258,0.145965
267,0.0367566,0.339411,0.248115,0.250664,0.211289,0.136801,-0.0254482,0.347843,0.160307,0.203027,0.210496,0.202535,0.19652,0.225159,0.208423,0.0820201
266,0.131617,0.124529,0.0945544,0.203717,0.0951379,0.271107,0.0395778,0.211177,0.169268,0.227312,0.118833,0.145751,0.295989,0.265725,0.19681,0.128997
265,0.0763377,0.279472,0.119718,0.159805,0.241426,0.291938,0.0984835,0.00183332,0.0191336,0.104487,0.201259,-0.0143397,0.209455,0.320659,0.255427,-4.06793e-05
264,0.00480945,0.0443193,0.264041,0.100303,0.227154,0.129732,0.163563,0.137201,0.0674179,0.0752104,0.152802,0.255125,0.114881,0.137358,0.277095,-0.0219141
263,0.00423834,0.0268748,0.0445651,0.108115,0.0603204,-0.00239679,0.105288,-0.0456139,-0.0869155,0.101682,0.125646,-0.000293639,0.199651,0.267828,0.148952,0.0440385
262,-0.0449713,0.105142,0.0508232,-0.095536,0.155848,0.243316,0.0783857,0.130154,0.14673,0.1286,0.064157,0.0840308,0.168375,-0.00700565,-0.0107115,-0.0406572
261,0.0274477,0.243725,-0.0729759,0.099492,0.26216,0.0695881,0.00365249,0.141121,0.0659628,0.0319531,0.1236,0.116224,-0.0891722,0.0768717,0.256947,-0.154413
260,0.144097,0.0068048,0.10764,0.0177991,0.111492,0.392372,0.214064,0.123585,-0.108728,-0.0457699,-0.018402,0.141752,-0.017174,0.255174,-0.0567259,-0.105956
259,-0.03311,0.0265422,-0.0641664,0.209461,-0.00502467,-0.0982487,-0.0795175,0.186838,0.255408,0.227818,0.0962422,0.0741506,0.19322,0.198099,0.0238878,0.230637
258,0.267982,-0.0490301,0.157078,-0.00364258,0.117347,0.105539,0.115817,-0.0312964,-0.150652,-0.0108341,0.361026,0.0253507,-0.0639152,0.212922,-0.0286343,0.055522
257,-0.0256176,-0.073779,0.169699,-0.122168,0.0370212,0.236924,-0.155366,-0.000265597,0.232946,0.186395,-0.143143,-0.0633751,0.0181037,0.327009,0.34541,-0.149071
256,-0.232169,-0.332622,0.0392421,0.0459281,0.128134,-0.132221,0.299313,0.00815028,0.0980305,-0.0880752,0.21991,-0.111714,0.0261736,0.0217925,0.102696,0.0297083
255,0.0459434,0.131683,0.152402,0.0647966,0.163538,0.0412959,-0.165511,0.0752888,0.136177,0.000171222,0.0109394,-0.0990674,-0.0648774,0.0337927,-0.0213633,0.0287293
